name,cat,presc,unit,muscle
Atlas Stone Lift,Conditioning,4x3,reps,Full Body
Atlas Stone Over Bar,Conditioning,4x3,reps,Full Body
Tire Flip,Conditioning,4x5,reps,Full Body
Log Press,Barbell,4x5,reps,Shoulders
Yoke Carry,Conditioning,4x20m,distance,Full Body
Zercher Carry,Conditioning,3x30m,distance,Full Body
Sandbag Carry,Conditioning,3x40m,distance,Full Body
Sandbag Clean,Conditioning,4x5,reps,Full Body
Sandbag Over Shoulder,Conditioning,4x5,reps,Full Body
Keg Carry,Conditioning,3x30m,distance,Full Body
Overhead Carry,Conditioning,3x30m,distance,Shoulders
Sled Drag,Conditioning,4x20m,distance,Hamstrings
Sled Sprint,Conditioning,6x15m,distance,Quadriceps
Axle Deadlift,Barbell,4x5,reps,Glutes
Safety Bar Squat,Barbell,4x6,reps,Quadriceps
Pin Squat,Barbell,4x3,reps,Quadriceps
Anderson Squat,Barbell,4x3,reps,Quadriceps
Board Press,Barbell,4x3,reps,Chest
Spoto Press,Barbell,4x5,reps,Chest
Larsen Press,Barbell,4x5,reps,Chest
Pin Press,Barbell,4x3,reps,Shoulders
Reverse Band Bench Press,Barbell,4x3,reps,Chest
Chain Bench Press,Barbell,4x3,reps,Chest
Deficit Deadlift,Barbell,4x4,reps,Glutes
Block Pull Deadlift,Barbell,4x4,reps,Glutes
Push Jerk,Barbell,5x3,reps,Shoulders
Snatch Pull,Barbell,4x3,reps,Upper Back
Muscle Snatch,Barbell,4x3,reps,Shoulders
Depth Jump,Bodyweight,4x5,reps,Quadriceps
Hurdle Hop,Bodyweight,4x6,reps,Calves
Tuck Jump,Bodyweight,4x8,reps,Quadriceps
Pogo Jump,Bodyweight,3x20,reps,Calves
Bounding,Bodyweight,4x20m,distance,Glutes
Single Leg Box Jump,Bodyweight,3x5,reps,Quadriceps
Medicine Ball Slam,Conditioning,4x10,reps,Full Body
Rotational Medicine Ball Throw,Conditioning,4x6,reps,Abdominals
Overhead Medicine Ball Throw,Conditioning,4x8,reps,Full Body
Medicine Ball Chest Pass,Conditioning,4x8,reps,Chest
Slant Board Squat,Bodyweight,3x12,reps,Quadriceps
Terminal Knee Extension,Machine,3x15,reps,Quadriceps
Tibialis Raise,Bodyweight,3x20,reps,Calves
Poliquin Step Up,Bodyweight,3x12,reps,Quadriceps
ATG Split Squat,Bodyweight,3x10,reps,Quadriceps
Reverse Nordic Curl,Bodyweight,3x8,reps,Quadriceps
Jefferson Curl,Barbell,3x8,reps,Lower Back
Copenhagen Plank,Bodyweight,3x30s,time,Adductors
Planche Lean Hold,Bodyweight,4x20s,time,Shoulders
Tuck Planche Hold,Bodyweight,4x15s,time,Shoulders
Pseudo Planche Push Up,Bodyweight,3x8,reps,Chest
Skin the Cat,Bodyweight,3x5,reps,Lats
Back Lever Hold,Bodyweight,4x15s,time,Lats
Archer Pull Up,Bodyweight,3x5,reps,Lats
Typewriter Pull Up,Bodyweight,3x5,reps,Lats
Human Flag Hold,Bodyweight,4x10s,time,Abdominals
Hanging Windshield Wiper,Bodyweight,3x8,reps,Abdominals
Ab Rollout from Standing,Bodyweight,3x6,reps,Abdominals
Stir the Pot Hold,Bodyweight,3x30s,time,Abdominals
GHD Sit Up,Machine,3x12,reps,Abdominals
Weighted Hollow Body Hold,Bodyweight,3x30s,time,Abdominals
Man Maker,Dumbbell,4x8,reps,Full Body
Devil Press,Dumbbell,4x8,reps,Full Body
Sledgehammer Strikes,Conditioning,4x20,reps,Full Body
Shuttle Run,Cardio Outdoor,6x20m,distance,Cardio
Jacob's Ladder,Cardio Machine,3x5min,time,Cardio
Versaclimber,Cardio Machine,3x5min,time,Cardio
Battle Ropes Waves,Conditioning,4x30s,time,Shoulders
Battle Ropes Slams,Conditioning,4x30s,time,Full Body
Kettlebell Clean and Press,Kettlebell,4x6,reps,Shoulders
Kettlebell Windmill,Kettlebell,3x6,reps,Abdominals
Kettlebell Bottoms Up Press,Kettlebell,3x8,reps,Shoulders
Kettlebell Figure 8,Kettlebell,3x12,reps,Full Body
Double Kettlebell Front Squat,Kettlebell,4x8,reps,Quadriceps
Cable Woodchop,Machine,3x12,reps,Abdominals
Cable Reverse Woodchop,Machine,3x12,reps,Abdominals
World's Greatest Stretch,Bodyweight,2x45s,time,Mobility
Couch Stretch,Bodyweight,2x60s,time,Mobility
Cat-Cow Stretch,Bodyweight,2x45s,time,Mobility
90/90 Hip Switch,Bodyweight,2x45s,time,Mobility
Thoracic Rotation Stretch,Bodyweight,2x45s,time,Mobility
Wall Slide Stretch,Bodyweight,2x45s,time,Mobility
Band Dislocate Stretch,Bodyweight,2x45s,time,Mobility
Ankle Circles Stretch,Bodyweight,2x45s,time,Mobility
Deep Squat Hold Stretch,Bodyweight,2x60s,time,Mobility
Hip Flexor Stretch,Bodyweight,2x45s,time,Mobility
Hamstring Stretch,Bodyweight,2x45s,time,Mobility
Pigeon Pose Stretch,Bodyweight,2x60s,time,Mobility
Child's Pose Stretch,Bodyweight,2x60s,time,Mobility
Downward-Facing Dog Stretch,Bodyweight,2x45s,time,Mobility
Cobra Pose Stretch,Bodyweight,2x45s,time,Mobility
Seated Forward Fold Stretch,Bodyweight,2x45s,time,Mobility
Standing Quad Stretch,Bodyweight,2x45s,time,Mobility
Calf Stretch on Wall,Bodyweight,2x45s,time,Mobility
Doorway Chest Stretch,Bodyweight,2x45s,time,Mobility
Cross Body Shoulder Stretch,Bodyweight,2x45s,time,Mobility
Overhead Triceps Stretch,Bodyweight,2x45s,time,Mobility
Neck Side Stretch,Bodyweight,2x30s,time,Mobility
Levator Scapulae Stretch,Bodyweight,2x30s,time,Mobility
Wrist Flexor Stretch,Bodyweight,2x30s,time,Mobility
Wrist Extensor Stretch,Bodyweight,2x30s,time,Mobility
Butterfly Groin Stretch,Bodyweight,2x45s,time,Mobility
Seated Spinal Twist Stretch,Bodyweight,2x45s,time,Mobility
Lying Glute Stretch,Bodyweight,2x45s,time,Mobility
Standing IT Band Stretch,Bodyweight,2x45s,time,Mobility
Lat Stretch on Rack,Bodyweight,2x45s,time,Mobility
Puppy Pose Stretch,Bodyweight,2x45s,time,Mobility
Thread the Needle Stretch,Bodyweight,2x45s,time,Mobility
Foam Rolling Quads,Bodyweight,2x60s,time,Mobility
Foam Rolling IT Band,Bodyweight,2x60s,time,Mobility
Foam Rolling Thoracic Spine,Bodyweight,2x60s,time,Mobility
Foam Rolling Glutes,Bodyweight,2x60s,time,Mobility
Foam Rolling Calves,Bodyweight,2x60s,time,Mobility
Foam Rolling Lats,Bodyweight,2x60s,time,Mobility
Shrimp Squat,Bodyweight,3x8,reps,Quadriceps
Skater Squat,Bodyweight,3x10,reps,Quadriceps
Chair Squat,Bodyweight,3x15,reps,Quadriceps
Step Up (Bodyweight),Bodyweight,3x15,reps,Quadriceps
Duck Walk,Bodyweight,3x20m,distance,Quadriceps
Jump Lunge,Bodyweight,3x12,reps,Quadriceps
Broad Jump,Bodyweight,4x5,reps,Glutes
Single Leg Glute Bridge March,Bodyweight,3x12,reps,Glutes
Frog Pump,Bodyweight,3x20,reps,Glutes
Donkey Kick,Bodyweight,3x15,reps,Glutes
Fire Hydrant,Bodyweight,3x15,reps,Abductors
Standing Calf Raise (Bodyweight),Bodyweight,3x20,reps,Calves
Single Leg Calf Raise (Bodyweight),Bodyweight,3x15,reps,Calves
Wide Push Up,Bodyweight,3x12,reps,Chest
Close Grip Push Up,Bodyweight,3x12,reps,Triceps
Archer Push Up,Bodyweight,3x8,reps,Chest
Hindu Push Up,Bodyweight,3x10,reps,Shoulders
Spiderman Push Up,Bodyweight,3x10,reps,Chest
Staggered Push Up,Bodyweight,3x10,reps,Chest
Wall Push Up,Bodyweight,3x15,reps,Chest
Explosive Push Up,Bodyweight,3x8,reps,Chest
Tempo Push Up,Bodyweight,3x8,reps,Chest
Chair Incline Push Up,Bodyweight,3x12,reps,Chest
Chair Dip,Bodyweight,3x12,reps,Triceps
Chair Step Up,Bodyweight,3x12,reps,Quadriceps
Chair Bulgarian Split Squat,Bodyweight,3x10,reps,Quadriceps
Towel Row,Bodyweight,3x12,reps,Upper Back
Table Row,Bodyweight,3x10,reps,Upper Back
Doorway Row,Bodyweight,3x12,reps,Upper Back
Superman Pull,Bodyweight,3x15,reps,Lower Back
Prone Y Raise,Bodyweight,3x15,reps,Shoulders
Prone T Raise,Bodyweight,3x15,reps,Upper Back
Prone W Raise,Bodyweight,3x15,reps,Upper Back
Band Face Pull,Bodyweight,3x15,reps,Upper Back
Band Bicep Curl,Bodyweight,3x15,reps,Biceps
Band Tricep Extension,Bodyweight,3x15,reps,Triceps
Band Shoulder Press,Bodyweight,3x15,reps,Shoulders
Band Good Morning,Bodyweight,3x15,reps,Hamstrings
Band Hip Thrust,Bodyweight,3x20,reps,Glutes
Band Monster Walk,Bodyweight,3x20m,distance,Abductors
Flutter Kick,Bodyweight,3x30,reps,Abdominals
Scissor Kick,Bodyweight,3x30,reps,Abdominals
Heel Tap,Bodyweight,3x20,reps,Abdominals
Toe Touch Crunch,Bodyweight,3x20,reps,Abdominals
Side Plank Dip,Bodyweight,3x15,reps,Abdominals
Plank Shoulder Tap,Bodyweight,3x20,reps,Abdominals
Plank Jack,Bodyweight,3x20,reps,Abdominals
Bear Crawl Hold,Bodyweight,3x30s,time,Full Body
Butt Kicks,Bodyweight,3x30s,time,Cardio
Star Jump,Bodyweight,3x20,reps,Full Body
Skater Jump,Bodyweight,3x20,reps,Quadriceps
Squat Thrust,Bodyweight,3x15,reps,Full Body
Inchworm,Bodyweight,3x10,reps,Full Body
Shadow Boxing,Conditioning,3x3min,time,Cardio
Stair Sprints,Cardio Outdoor,6x30s,time,Cardio
Burpee Pull Up,Bodyweight,3x8,reps,Full Body
Isometric Squat Hold,Bodyweight,3x45s,time,Quadriceps
Isometric Push Up Hold,Bodyweight,3x30s,time,Chest
Isometric Lunge Hold,Bodyweight,3x45s,time,Quadriceps
Glute Bridge Hold,Bodyweight,3x45s,time,Glutes
Straddle Planche Hold,Bodyweight,4x10s,time,Shoulders
Advanced Tuck Planche Hold,Bodyweight,4x15s,time,Shoulders
